"","nct_id","Disease","Phase","Industry","Duration.Treatment","Duration.Trial","N_total","Tier2_fraction","Tier3_fraction","GDP_weighted","Female_fraction","Age_mean","AA_fraction","Asian_fraction","Native_fraction","AE_AST_ALT","AE_COPD","AE_GORD","AE_LRTI","AE_URTI","AE_UTI","AE_abdominal_pain","AE_alopecia","AE_anaemia","AE_anorexia","AE_asthma","AE_back_pain","AE_bleeding","AE_chest_pain","AE_chills","AE_constipation","AE_cough","AE_dehydration","AE_diarrhoea","AE_dizziness","AE_drowsiness","AE_dyspepsia","AE_dyspnoea","AE_embolism","AE_fatigue","AE_fibrillation","AE_gastroenteritis","AE_haemoptysis","AE_headache","AE_heart_attack","AE_heart_failure","AE_hyperglycaemia","AE_hypertension","AE_hypokalaemia","AE_hyponatraemia","AE_hypotension","AE_hypoxia","AE_injection_site","AE_insomnia","AE_joint_pain","AE_limb_pain","AE_mood","AE_muscle_pain","AE_nasal","AE_nasopharyngitis","AE_nausea","AE_neutropenia","AE_pain","AE_pharynx_pain","AE_pleural_effusion","AE_pneumothorax","AE_pyrexia","AE_renal_failure","AE_respiratory_failure","AE_sepsis","AE_skin","AE_stroke","AE_swelling","AE_syncope","AE_taste","AE_thrombocytopenia","AE_thrombosis","AE_total_mortality","AE_total_other","AE_total_serious","dwp_all","dwp_wo_ae","dwp_sub"
"19","NCT00047463","Sleep Apnea","Phase 2","Not",1.55065032731459,70.027397260274,35,0,0,59495,0.363636363636364,42.7,12.3,3.6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227272727272727,0,13.6363636363636,13.6363636363636,13.6363636363636
"21","NCT00048997","Cancer","Phase 3","Not",25.4260553065696,75.0575342465753,340,0,0,59495,0.368098159509202,62,12.3,3.6,9,0,0,0,0,0,0,0,0.233128834355828,0,0.104294478527607,0,0,0.00613496932515337,0,0,0,0,0,0,0,0,0,0.00613496932515337,0,0.312883435582822,0,0,0,0.0858895705521472,0,0,0,0,0,0,0,0,0,0,0,0,0.00613496932515337,0,0,0,0.110429447852761,0,0.00613496932515337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50920245398773,0.0306748466257669,7.97546012269939,7.97546012269939,3.68098159509202
"22","NCT00049543","Cancer","Phase 3","Not",48,79.3315068493151,503,0,0,48141,0.46031746031746,65.9,3.57142857142857,1.19047619047619,1.19047619047619,0.0123456790123457,0,0,0.0123456790123457,0,0.00411522633744856,0.0288065843621399,0.0576131687242798,0,0.164609053497942,0,0.0699588477366255,0.0164609053497942,0.440329218106996,0,0.135802469135802,0.292181069958848,0.00823045267489712,0.308641975308642,0.0699588477366255,0,0.0823045267489712,0.604938271604938,0,0.534979423868313,0,0,0,0.0617283950617284,0,0,0.0946502057613169,0.00411522633744856,0,0,0.00411522633744856,0,0,0.0781893004115226,0.0946502057613169,0.00411522633744856,0.0576131687242798,0.0946502057613169,0,0,0.185185185185185,0,0.0617283950617284,0,0.00411522633744856,0,0.00411522633744856,0.00411522633744856,0,0,0.271604938271605,0,0.0576131687242798,0.00411522633744856,0,0,0.00411522633744856,0,0.930041152263374,0.176954732510288,0,0,0
"23","NCT00049543","Cancer","Phase 3","Not",48,79.3315068493151,503,0,0,48141,0.462151394422311,67.3,3.98406374501992,2.39043824701195,0.796812749003984,0.0562248995983936,0,0,0.0160642570281124,0,0,0.072289156626506,0.0883534136546185,0,0.281124497991968,0,0.0522088353413655,0.0642570281124498,0.345381526104418,0,0.156626506024096,0.253012048192771,0.0120481927710843,0.622489959839357,0.0682730923694779,0,0.0763052208835341,0.522088353413655,0,0.542168674698795,0,0,0,0.0763052208835341,0,0,0.104417670682731,0,0,0,0.00401606425702811,0.00401606425702811,0,0.0481927710843374,0.0562248995983936,0,0.0642570281124498,0.0481927710843374,0,0,0.265060240963855,0,0.0441767068273092,0,0.00401606425702811,0.00401606425702811,0.00803212851405622,0.00401606425702811,0,0,0.670682730923695,0,0.0441767068273092,0,0,0,0.0160642570281124,0,0.963855421686747,0.136546184738956,0,0,0
"24","NCT00050960","Cancer","Phase 3","Sponsor",10,24.8876712328767,612,0,0,56250.2337662338,0.336601307189543,61.7,6.5359477124183,0.980392156862745,0,0,0,0,0.0203389830508475,0,0,0.0644067796610169,0.522033898305085,0.379661016949153,0.16271186440678,0,0.11864406779661,0.0372881355932203,0.189830508474576,0,0.284745762711864,0.159322033898305,0.0745762711864407,0.230508474576271,0.108474576271186,0,0.0644067796610169,0.176271186440678,0.0271186440677966,0.464406779661017,0.0135593220338983,0,0.0576271186440678,0.0949152542372881,0,0.0135593220338983,0.0271186440677966,0,0.0271186440677966,0.0203389830508475,0.0338983050847458,0.0135593220338983,0,0.189830508474576,0.230508474576271,0.108474576271186,0.105084745762712,0.186440677966102,0,0,0.474576271186441,0.240677966101695,0.101694915254237,0.0305084745762712,0.0135593220338983,0,0.159322033898305,0,0.0101694915254237,0.00677966101694915,0.0745762711864407,0.00338983050847458,0.128813559322034,0,0.0779661016949153,0.142372881355932,0.023728813559322,0,1,0.820338983050847,41.5032679738562,21.5686274509804,6.5359477124183
"25","NCT00050960","Cancer","Phase 3","Sponsor",10,24.8876712328767,612,0,0,56250.2337662338,0.336601307189543,62.5,7.51633986928105,2.28758169934641,0,0,0,0,0.0307167235494881,0,0,0.133105802047782,0.501706484641638,0.501706484641638,0.242320819112628,0,0.116040955631399,0.068259385665529,0.150170648464164,0,0.273037542662116,0.208191126279863,0.136518771331058,0.368600682593857,0.150170648464164,0,0.0648464163822526,0.252559726962457,0.0341296928327645,0.532423208191126,0.0136518771331058,0,0.0580204778156997,0.129692832764505,0,0.00341296928327645,0.0511945392491468,0,0.0750853242320819,0.0546075085324232,0.0614334470989761,0.0136518771331058,0,0.238907849829352,0.266211604095563,0.187713310580205,0.133105802047782,0.208191126279863,0,0,0.501706484641638,0.47098976109215,0.0921501706484642,0.0648464163822526,0.0273037542662116,0,0.156996587030717,0,0.0273037542662116,0.0102389078498294,0.160409556313993,0.0102389078498294,0.133105802047782,0,0.0580204778156997,0.150170648464164,0.0102389078498294,0,1,0.873720136518771,38.8888888888889,18.6274509803922,8.49673202614379
"26","NCT00051363","Sleep Apnea","Phase 3","Not",6.70323201876923,71.0465753424657,1098,0,0,59495,0.343173431734317,50.8,12.3,3.6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688191881918819,0.0571955719557196,25.2767527675277,25.2767527675277,23.2472324723247
"27","NCT00051363","Sleep Apnea","Phase 3","Not",6.70323201876923,71.0465753424657,1098,0,0,59495,0.347122302158273,52.2,12.3,3.6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701438848920863,0.0575539568345324,19.9640287769784,19.9640287769784,18.3453237410072
"28","NCT00053846","Cancer","Phase 3","Not",2.7433644994705,96.0657534246575,379,0,0,59495,0.494791666666667,64,10.4166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0091324200913242,0,0,0.0091324200913242,0.0045662100456621,0,0,0,0,0,0,0,0,0,0,0,0.0045662100456621,0,0,0,0,0,0,0,0,0,0.0045662100456621,0,0,0,0,0,0,0,0,0,0,0,0.0045662100456621,0,0,0,0,0,0.045662100456621,0.0136986301369863,13.5416666666667,8.33333333333333,7.29166666666667
"29","NCT00053846","Cancer","Phase 3","Not",2.7433644994705,96.0657534246575,379,0,0,59495,0.53475935828877,62.9,10.1604278074866,0,0,0,0,0,0.00469483568075117,0,0,0,0,0.00469483568075117,0,0,0,0,0,0,0,0,0,0,0.00938967136150235,0,0,0.0140845070422535,0.00469483568075117,0,0,0,0,0,0,0,0,0,0,0,0,0.00469483568075117,0,0,0,0,0.00469483568075117,0,0,0,0.0140845070422535,0.00469483568075117,0,0,0,0,0,0,0,0,0.00469483568075117,0,0,0,0,0.00469483568075117,0.00469483568075117,0,0.0610328638497653,0.0140845070422535,12.2994652406417,7.48663101604278,4.27807486631016
"30","NCT00057746","Cancer","Phase 2","Not",4.60344560616666,74.9917808219178,264,0,0,59239.2792792793,0.484848484848485,61,12.3833333333333,3.87927927927928,8.84234234234234,0,0,0,0.03125,0,0,0,0,0,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265625,0,0,0,0.296875,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0.171875,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0,0,0,0,0.40625,0.0625,1.51515151515152,1.51515151515152,1.51515151515152
"31","NCT00057746","Cancer","Phase 2","Not",4.60344560616666,74.9917808219178,264,0,0,59239.2792792793,0.492537313432836,62,12.3833333333333,3.87927927927928,8.84234234234234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378787878787879,0,0,0,0.318181818181818,0,0,0,0,0,0,0,0,0,0.0606060606060606,0,0,0,0,0,0,0.272727272727273,0,0.0151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.560606060606061,0.0303030303030303,0,0,0
"32","NCT00057746","Cancer","Phase 2","Not",4.60344560616666,74.9917808219178,264,0,0,59239.2792792793,0.404580152671756,62,12.3833333333333,3.87927927927928,8.84234234234234,0,0,0,0.0078125,0,0,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0,0,0.0078125,0,0.2734375,0,0,0,0.2421875,0,0,0,0,0.0078125,0,0,0,0,0.0390625,0,0,0.0078125,0,0,0,0.1640625,0,0,0,0,0,0,0,0,0,0,0,0.0078125,0,0,0,0,0,0.421875,0.046875,0,0,0
"33","NCT00057837","Cancer","Phase 2","Not",44.6,93.3369863013698,132,0,0,59495,0.5,64,12.3,3.6,9,0.264705882352941,0,0,0.0147058823529412,0,0,0.102941176470588,0.485294117647059,0.941176470588235,0.470588235294118,0,0,0.0147058823529412,0,0.0588235294117647,0.220588235294118,0.0882352941176471,0.147058823529412,0.5,0.147058823529412,0.0147058823529412,0.102941176470588,0.102941176470588,0,0.779411764705882,0,0,0,0,0,0,0.0294117647058824,0,0.0147058823529412,0.0441176470588235,0.0882352941176471,0.0294117647058824,0,0.102941176470588,0,0,0.0735294117647059,0.102941176470588,0,0,0.720588235294118,0.823529411764706,0.0588235294117647,0,0,0,0.0882352941176471,0.0147058823529412,0,0,0.0735294117647059,0,0.102941176470588,0,0.161764705882353,0.5,0.0147058823529412,0,0.985294117647059,0.75,25.7575757575758,6.06060606060606,6.06060606060606
"34","NCT00057837","Cancer","Phase 2","Not",44.6,93.3369863013698,132,0,0,59495,0.378787878787879,60,12.3,3.6,9,0.27536231884058,0,0,0,0,0,0.0144927536231884,0.492753623188406,0.942028985507246,0.318840579710145,0,0,0.0144927536231884,0,0.0144927536231884,0.260869565217391,0.101449275362319,0.130434782608696,0.173913043478261,0.115942028985507,0,0.0579710144927536,0.115942028985507,0,0.72463768115942,0,0,0.0144927536231884,0,0,0,0.0579710144927536,0,0.0289855072463768,0.0579710144927536,0.0869565217391304,0.0144927536231884,0,0.072463768115942,0,0,0.0434782608695652,0.101449275362319,0,0,0.608695652173913,0.681159420289855,0.0869565217391304,0,0,0,0.101449275362319,0,0,0,0.0869565217391304,0,0.0579710144927536,0.0144927536231884,0.159420289855072,0.666666666666667,0,0,0.956521739130435,0.695652173913043,15.1515151515152,9.09090909090909,9.09090909090909
"35","NCT00062010","Cancer","Phase 2","Not",5.96872000000001,50.8602739726027,34,0,0,59495,0.352941176470588,60,12.3,3.6,9,0.0294117647058824,0,0,0,0,0,0.0588235294117647,0.323529411764706,0,0.352941176470588,0,0,0.0588235294117647,0,0.411764705882353,0.0588235294117647,0.0294117647058824,0.0588235294117647,0.117647058823529,0.117647058823529,0,0.0588235294117647,0.0294117647058824,0,0.205882352941176,0,0,0,0.176470588235294,0,0,0.0588235294117647,0,0.0588235294117647,0.0294117647058824,0.0294117647058824,0,0,0.0882352941176471,0.323529411764706,0,0.117647058823529,0.147058823529412,0,0,0.235294117647059,0.235294117647059,0.0588235294117647,0,0,0,0.205882352941176,0,0,0,0.0882352941176471,0,0.117647058823529,0,0.176470588235294,0.382352941176471,0,0,0.970588235294118,0.617647058823529,0,0,0
"37","NCT00063154","Cancer","Phase 2","Sponsor",1.5,15.5178082191781,43,0,0,59495,0.395348837209302,62.5,12.3,3.6,9,0,0,0,0.162790697674419,0,0,0,0,0.0697674418604651,0.186046511627907,0,0.0930232558139535,0,0,0.0697674418604651,0.0930232558139535,0.13953488372093,0,0.348837209302326,0.0697674418604651,0,0,0.13953488372093,0.0232558139534884,0.372093023255814,0,0,0.0697674418604651,0.116279069767442,0,0,0,0,0,0,0,0.0232558139534884,0,0.0697674418604651,0.116279069767442,0,0.13953488372093,0.0697674418604651,0,0,0.186046511627907,0,0.13953488372093,0,0.0232558139534884,0,0.0930232558139535,0,0,0.0232558139534884,0.116279069767442,0,0.0697674418604651,0,0,0,0.0232558139534884,0,0.976744186046512,0.348837209302326,25.5813953488372,20.9302325581395,0
"41","NCT00065429","Cancer","Phase 2","Sponsor",3.71280259931907,89.1945205479452,64,0,0,59495,0.341463414634146,61.2,12.3,3.6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.121951219512195,4.8780487804878,0,0
"46","NCT00066222","Cancer","Phase 2","Not",24,59.1452054794521,71,0,0,59495,0.47887323943662,71,12.3,3.6,9,0,0,0,0.0563380281690141,0,0,0,0.422535211267606,0.0140845070422535,0.464788732394366,0,0,0.0140845070422535,0.352112676056338,0,0.23943661971831,0.338028169014085,0.267605633802817,0.154929577464789,0.197183098591549,0.0140845070422535,0.0845070422535211,0.23943661971831,0,0.774647887323944,0,0,0,0.112676056338028,0,0,0.169014084507042,0,0.112676056338028,0.183098591549296,0.0704225352112676,0,0,0.0845070422535211,0,0.0422535211267606,0.0704225352112676,0.0563380281690141,0,0,0.535211267605634,0.0985915492957746,0.154929577464789,0,0.0140845070422535,0,0.197183098591549,0.0563380281690141,0,0,0.253521126760563,0,0.0704225352112676,0.0140845070422535,0.0563380281690141,0,0.0563380281690141,0,1,0.943661971830986,1.40845070422535,1.40845070422535,0
"48","NCT00069823","Asthma","Phase 3","Not",6,43.0027397260274,402,0,0,59495,0.640394088669951,42,38.9162561576355,0,8.86699507389163,0,0,0,0.00492610837438424,0,0,0,0,0,0,0.0147783251231527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492610837438424,1.47783251231527,1.47783251231527,1.47783251231527
"49","NCT00069823","Asthma","Phase 3","Not",6,43.0027397260274,402,0,0,59495,0.718592964824121,17,36.6834170854271,0,8.5427135678392,0,0,0,0,0,0,0,0,0,0,0.0207253886010363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804020100502513,3.01507537688442,3.01507537688442,3.01507537688442
"50","NCT00071032","Inf.Disease","Phase 3","Not",16.5294865850778,70.0602739726027,2016,0,0,59495,0.763131813676908,81.5,12.3,3.6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376984126984127,0.0347567030784508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297914597815293,0,0,0,0,0,0,0,0.0654112983151635,0.792864222001982,0.792864222001982,0.693756194251734
"51","NCT00071032","Inf.Disease","Phase 3","Not",16.5294865850778,70.0602739726027,2016,0,0,59495,0.751737835153923,81.8,12.3,3.6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00199004975124378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228855721393035,0.026865671641791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00796019900497512,0,0,0,0,0,0,0,0.0754716981132075,0.893743793445879,0.893743793445879,0.893743793445879
"52","NCT00078312","Sleep Apnea","Phase 3","Sponsor",12,29.6219178082192,328,0.18,0,53806.1,0.338414634146341,45.2,10.086,3.852,7.38,0,0,0,0,0.102167182662539,0,0,0,0,0,0,0.00309597523219814,0,0.00619195046439629,0,0,0,0,0,0.0835913312693498,0,0,0,0.00309597523219814,0,0,0,0,0.170278637770898,0.00309597523219814,0,0,0.0557275541795666,0.00309597523219814,0,0,0,0,0.142414860681115,0,0,0.065015479876161,0,0,0.0557275541795666,0.0835913312693498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547987616099071,0.0371517027863777,46.6463414634146,33.5365853658537,22.5609756097561
"56","NCT00079040","Cancer","Phase 2","Not",6,32.3835616438356,63,0,0,59495,0.571428571428571,65,12.3,3.6,9,0.203125,0,0,0,0,0,0,0.734375,0,0.4375,0,0.09375,0.09375,0,0.109375,0.46875,0.140625,0.046875,0.265625,0.09375,0,0.15625,0.1875,0,0.125,0,0,0,0.15625,0,0,0,0.140625,0.171875,0.40625,0.109375,0,0.0625,0.09375,0.046875,0,0,0.171875,0,0,0.671875,0.578125,0.015625,0,0,0,0.109375,0,0,0,0.09375,0,0,0,0.140625,0.140625,0.015625,0,0.984375,0.765625,1.58730158730159,1.58730158730159,1.58730158730159
"59","NCT00079937","Asthma","Phase 3","Sponsor",18,46.9808219178082,628,0,0,59495,0.333333333333333,8.4,14.4927536231884,0.966183574879227,0,0,0,0,0.140096618357488,0.222222222222222,0,0.0579710144927536,0,0,0,0.821256038647343,0,0,0,0,0,0.120772946859903,0,0.0579710144927536,0,0,0,0,0,0,0,0.072463768115942,0,0.159420289855072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966183574879227,0.270531400966184,0.115942028985507,0,0,0.0772946859903382,0,0,0.0966183574879227,0,0,0,0,0,0,0,0,0,0,0,0.93719806763285,0.1256038647343,14.4927536231884,14.0096618357488,5.79710144927536
"60","NCT00079937","Asthma","Phase 3","Sponsor",18,46.9808219178082,628,0,0,59495,0.318289786223278,8.7,16.3895486935867,0,0,0,0,0,0.0855106888361045,0.161520190023753,0,0.0546318289786223,0,0,0,0.688836104513064,0,0,0,0,0,0.104513064133017,0.00237529691211401,0.0475059382422803,0,0,0,0,0,0,0,0.0546318289786223,0,0.137767220902613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831353919239905,0.27790973871734,0.0807600950118765,0,0,0.0783847980997625,0,0,0.140142517814727,0,0,0,0,0,0,0.00237529691211401,0,0,0,0,0.888361045130641,0.0641330166270784,15.4394299287411,14.9643705463183,7.83847980997625
